Country,siteName,contactEmail,sciName,totalCount,family,active.ambush,feedingTypeFishbase,feedingImpute,trophicGroupRLS,trophicImpute,waterColumnRLS,waterColumnImpute,eat.squid,eat.squidImpute,BodyShapeI,BodyShapeII,Forehead,TypeofMouth,PosofMouth,CShape,Attributes,TL,HL,BD,SnoutTipX,SnoutTipY,AspectRatio,EncIndex,DietTroph,DietSeTroph,FoodTroph,FoodSeTroph,SoftBottom,Sand,Mud,HardBottom,SeaGrassBeds,CoralReefs,Estuaries,Mangroves,Intertidal,Saltmarshes,Herbivory2,Climate,FoodI,FoodII
Mexico (BN),Punta Banda Estuary,pablojorgensen@hotmail.com,Halichoeres semicinctus,1,Labridae,active,Hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Benthic,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,580,136,138,28,206,1.03567,NaN,NaN,NaN,3.26,0.39,0,0,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),subtropical;temperate,plants;zoobenthos,benth. crust.;echinoderms;mollusks;other benth. invertebrates;other plants;worms
Australia (QLD2),NA,NA,Halichoeres sp.,1,Labridae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD2),NA,NA,Halichoeres trimaculatus,3,Labridae,active,variable,variable,NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,compressed,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,593,153,167,16,151,1.41396,NaN,NaN,NaN,3.460000038,0.5083,-1,-1,0,0,0,-1,0,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;plants;zoobenthos;zooplankton,benth. crust.;finfish;mollusks;other plank. invertebrates;other plants;worms
Australia (QLD2),NA,NA,Labroides dimidiatus,4,Labridae,active,picking parasites off a host (cleaner),picking parasites off a host (cleaner),cleaner,cleaner,demersal,demersal,1,1,elongated,compressed,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,586,144,129,NaN,NaN,1.07647,178.6666667,3.46,0.44,3.85,0.63,-1,-1,-1,-1,-1,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
Wales,"Porthdinllaen, UK",maxrobinson@hotmail.com,Labrus bergylta,2,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,NA,604,139,174,NaN,NaN,1.38077,106.3166667,3.2,NaN,3.32,0.47,0,0,0,-1,-1,0,0,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,nekton;plants;zoobenthos;zooplankton,benth. crust.;echinoderms;finfish;mollusks;other benth. invertebrates;other plants;plank. crust.;sponges/tunicates;worms
Australia (QLD2),NA,NA,Leptojulis cyanopleura,48,Labridae,active,selective plankton feeding,selective plankton feeding,Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,compressed,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,588,144,116,NaN,NaN,1.20754,NaN,NaN,NaN,3.4,0.45,0,0,0,0,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,zooplankton,other plank. invertebrates
Australia (QLD2),NA,NA,Leptojulis sp.,20,Labridae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korea,Koje-Korea,"sormyo@pusan.ac.kr, klee@pusan.ac.kr",Parajulis poecilopterus,1,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Pseudolabrus guentheri,6,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,compressed,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,571,165,147,23,157,1.25611,NaN,NaN,NaN,3.5,0.5,0,0,0,-1,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,zoobenthos,benth. crust.
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Pseudolabrus guentheri,6,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,compressed,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,571,165,147,23,157,1.25611,NaN,NaN,NaN,3.5,0.5,0,0,0,-1,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,zoobenthos,benth. crust.
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Pseudolabrus guentheri,6,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,compressed,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,571,165,147,23,157,1.25611,NaN,NaN,NaN,3.5,0.5,0,0,0,-1,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,zoobenthos,benth. crust.
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Pseudolabrus guentheri,6,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,compressed,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,571,165,147,23,157,1.25611,NaN,NaN,NaN,3.5,0.5,0,0,0,-1,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,zoobenthos,benth. crust.
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Scarus ghobban,1,Labridae,active,browsing on substrate,browsing on substrate,Scraping herbivore,scraping herbivore,Demersal,demersal,1,1,fusiform / normal,compressed,NA,NA,NA,NA,NA,588,137,193,20,142,1.77477,NaN,2,0,2,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,mainly plants/detritus (troph. 2-2.19),tropical,plants,other plants
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Scarus ghobban,1,Labridae,active,browsing on substrate,browsing on substrate,Scraping herbivore,scraping herbivore,Demersal,demersal,1,1,fusiform / normal,compressed,NA,NA,NA,NA,NA,588,137,193,20,142,1.77477,NaN,2,0,2,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,mainly plants/detritus (troph. 2-2.19),tropical,plants,other plants
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Scarus ghobban,1,Labridae,active,browsing on substrate,browsing on substrate,Scraping herbivore,scraping herbivore,Demersal,demersal,1,1,fusiform / normal,compressed,NA,NA,NA,NA,NA,588,137,193,20,142,1.77477,NaN,2,0,2,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,mainly plants/detritus (troph. 2-2.19),tropical,plants,other plants
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Scarus ghobban,1,Labridae,active,browsing on substrate,browsing on substrate,Scraping herbivore,scraping herbivore,Demersal,demersal,1,1,fusiform / normal,compressed,NA,NA,NA,NA,NA,588,137,193,20,142,1.77477,NaN,2,0,2,0,-1,-1,-1,0,-1,-1,-1,-1,0,0,mainly plants/detritus (troph. 2-2.19),tropical,plants,other plants
Mexico (ICML),NA,NA,Sparisoma rubripinne,2,Labridae,active,browsing on substrate,browsing on substrate,Scraping herbivore,scraping herbivore,Demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,583,149,187,28,142,1.19765,NaN,2,0,2,0,0,0,0,0,-1,-1,0,0,0,0,mainly plants/detritus (troph. 2-2.19),tropical,,
Mexico (ICML),NA,NA,Sparisoma viride,1,Labridae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,clearly convex,more or less normal,terminal,NA,NA,561,143.5,186.5,39,224,1.12955,NaN,NaN,NaN,2,0,0,0,0,0,0,-1,0,0,0,0,mainly plants/detritus (troph. 2-2.19),tropical,plants,other plants
Croatia,NA,NA,Symphodus cinereus,1,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,581,169,172,20,191,1.53336,NaN,3.54,0.14,3.3,0.42,-1,0,0,0,-1,0,-1,0,0,0,mainly animals (troph. 2.8 and up),subtropical,zoobenthos;zooplankton,benth. crust.;mollusks;other benth. invertebrates;plank. crust.;worms
Wales,"Porthdinllaen, UK",maxrobinson@hotmail.com,Symphodus melops,41,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,573,158,172,22,190,1.34099,144.5555556,3.38,0.14,3.32,0.52,0,0,0,0,-1,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,plants;zoobenthos;zooplankton,benth. crust.;cnidarians;echinoderms;fish (early stages);insects;mollusks;other benth. invertebrates;other plants;sponges/tunicates;worms
Croatia,CR-B-SvetiDuh,claudia@claudiakruschel.com,Symphodus ocellatus,93,Labridae,active,variable,variable,benthic invertivore,benthic invertivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,594,174,162,19,203,1.13243,117,3.48,NaN,3.339999914,0.4176,0,0,0,0,-1,0,0,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,plants;zoobenthos;zooplankton,benth. crust.;echinoderms;fish (early stages);jellyfish/hydroids;mollusks;other benth. invertebrates;other plank. invertebrates;other plants;worms
Croatia,CR-B-SvetiDuh,claudia@claudiakruschel.com,Symphodus ocellatus,93,Labridae,active,variable,variable,benthic invertivore,benthic invertivore,demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,594,174,162,19,203,1.13243,117,3.48,NaN,3.339999914,0.4176,0,0,0,0,-1,0,0,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,plants;zoobenthos;zooplankton,benth. crust.;echinoderms;fish (early stages);jellyfish/hydroids;mollusks;other benth. invertebrates;other plank. invertebrates;other plants;worms
France,Bouzigues,francesca.rossi@cnrs.fr,Symphodus tinca,8,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,583,171,172,24,196,1.65376,83,3.25,0.26,3.230000019,0.4242,0,0,0,0,-1,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,plants;zoobenthos,benth. crust.;echinoderms;mollusks;other plants;worms
France,Bouzigues,francesca.rossi@cnrs.fr,Symphodus tinca,8,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,583,171,172,24,196,1.65376,83,3.25,0.26,3.230000019,0.4242,0,0,0,0,-1,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,plants;zoobenthos,benth. crust.;echinoderms;mollusks;other plants;worms
Italy,NA,NA,Symphodus tinca,2,Labridae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,NA,NA,NA,NA,NA,NA,583,171,172,24,196,1.65376,83,3.25,0.26,3.230000019,0.4242,0,0,0,0,-1,0,-1,0,-1,0,mainly animals (troph. 2.8 and up),subtropical,plants;zoobenthos,benth. crust.;echinoderms;mollusks;other plants;worms
Mexico (ICML),NA,NA,Thalassoma bifasciatum,4,Labridae,active,selective plankton feeding,selective plankton feeding,Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,NA,NA,NA,NA,more or less truncate,more or less normal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,0.14,3.49,0.42,0,0,0,0,-1,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos;zooplankton,benth. crust.;echinoderms;finfish;mollusks;other benth. invertebrates;plank. crust.;worms
Australia (QLD2),NA,NA,Thalassoma sp.,20,Labridae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korea,Koje-Korea,"sormyo@pusan.ac.kr, klee@pusan.ac.kr",Lateolabrax japonicus,116,Lateolabracidae,ambush,hunting macrofauna (predator),hunting macrofauna (predator),planktivore,planktivore,pelagic non-site attached,pelagic non-site attached,1,1,fusiform / normal,NA,more or less straight,more or less normal,NA,forked,more or less normal,594.5,153,148,28,181,1.614635,NaN,3.1,0.3,3.32,0.41,0,0,0,0,0,-1,-1,-1,-1,0,mainly animals (troph. 2.8 and up),subtropical,nekton;others;zoobenthos;zooplankton,benth. crust.;finfish;other plank. invertebrates;other terrest. invertebrates;plank. crust.;worms
Australia (QLD2),NA,NA,Lethrinus atkinsoni,29,Lethrinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,clearly convex,more or less normal,terminal,more or less truncate,NA,588,161,190,NaN,NaN,2.19874,NaN,3.79,NaN,3.51,0.52,-1,-1,0,0,-1,-1,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish;mollusks;other benth. invertebrates;worms
Australia (QLD),Bowen,paul.york@jcu.edu.au,Lethrinus genivittatus,33,Lethrinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,oval,clearly convex,more or less normal,terminal,forked,more or less normal,592,147,167,NaN,NaN,1.84602,27,3.67,NaN,3.61,0.52,-1,-1,0,0,-1,-1,-1,-1,-1,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish;mollusks;worms
Australia (QLD2),NA,NA,Lethrinus genivittatus,114,Lethrinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,clearly convex,more or less normal,terminal,forked,more or less normal,592,147,167,NaN,NaN,1.84602,27,3.67,NaN,3.61,0.52,-1,-1,0,0,-1,-1,-1,-1,-1,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish;mollusks;worms
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Lethrinus laticaudis,1,Lethrinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,forked,more or less normal,541,136,203,NaN,NaN,2.34093,NaN,4.46,0.77,3.97,0.65,-1,-1,0,0,-1,-1,-1,-1,-1,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Lethrinus laticaudis,1,Lethrinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,forked,more or less normal,541,136,203,NaN,NaN,2.34093,NaN,4.46,0.77,3.97,0.65,-1,-1,0,0,-1,-1,-1,-1,-1,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
Australia (QLD2),NA,NA,Lethrinus nebulosus,26,Lethrinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,forked,more or less normal,592,158.5,194,22,174,1.837065,NaN,3.76,0.186,3.640000105,0.5399,-1,-1,0,-1,-1,-1,-1,-1,-1,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;echinoderms;finfish;mollusks;worms
Australia (QLD2),NA,NA,Lethrinus obsoletus,11,Lethrinidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,clearly convex,more or less normal,terminal,more or less truncate,NA,575,151,183,NaN,NaN,2.39126,NaN,3.89,0.24,3.119999886,0.3295,-1,-1,0,-1,-1,-1,-1,-1,-1,0,mainly animals (troph. 2.8 and up),tropical,plants;zoobenthos;zooplankton,benth. crust.;echinoderms;mollusks;other plants;plank. crust.;worms
Australia (QLD2),NA,NA,Lethrinus sp.,331,Lethrinidae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada (BC),Choked Pocket,zach.monteith@hakai.org,Liparis sp.,2,Liparidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Benthic,benthic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (VIC),Edwards Point,hjanes@deakin.edu.au,Sepioteuthis australis,2,Loliginidae,active,hunting macrofauna (predator),hunting macrofauna (predator),higher carnivore,higher carnivore,Benthopelagic,benthopelagic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (VIC),Edwards Point,hjanes@deakin.edu.au,Sepioteuthis australis,2,Loliginidae,active,hunting macrofauna (predator),hunting macrofauna (predator),higher carnivore,higher carnivore,Benthopelagic,benthopelagic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (VIC),St. Leonards,hjanes@deakin.edu.au,Sepioteuthis australis,1,Loliginidae,active,hunting macrofauna (predator),hunting macrofauna (predator),higher carnivore,higher carnivore,Benthopelagic,benthopelagic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (VIC),St. Leonards,hjanes@deakin.edu.au,Sepioteuthis australis,1,Loliginidae,active,hunting macrofauna (predator),hunting macrofauna (predator),higher carnivore,higher carnivore,Benthopelagic,benthopelagic,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Sepioteuthis lessoniana,6,Loliginidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD3),Moreton_Bay,r.connolly@griffith.edu.au,Sepioteuthis lessoniana,6,Loliginidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Higher carnivore,higher carnivore,Demersal,demersal,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD2),NA,NA,Caesio sp.,6,Lutjanidae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico (ICML),NA,NA,Lutjanus analis,2,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,clearly convex,more or less normal,terminal,more or less truncate,more or less normal,575,147,171,NaN,NaN,1.6903,NaN,3.91,0.2,3.92,0.6,0,0,0,0,-1,-1,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;cephalopods;finfish;mollusks
Mexico (ICML2),NA,NA,Lutjanus analis,2,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,clearly convex,more or less normal,terminal,more or less truncate,more or less normal,575,147,171,NaN,NaN,1.6903,NaN,3.91,0.2,3.92,0.6,0,0,0,0,-1,-1,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;cephalopods;finfish;mollusks
Mexico (ICML),NA,NA,Lutjanus apodus,2,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,566,178,171,NaN,NaN,1.77557,NaN,4.25,0.425,3.76,0.57,-1,-1,-1,0,-1,-1,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;cephalopods;finfish;mollusks;worms
Mexico (ICML),NA,NA,Lutjanus griseus,2,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,559,167,166,NaN,NaN,1.77717,NaN,4.23,0.307,3.88,0.79,0,0,0,-1,-1,-1,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos;zooplankton,benth. crust.;finfish;mollusks;other plank. invertebrates;plank. crust.;worms
USA (TX),Aransas Pass,mdiskin@islander.tamucc.edu,Lutjanus griseus,12,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,559,167,166,NaN,NaN,1.77717,NaN,4.23,0.307,3.88,0.79,0,0,0,-1,-1,-1,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos;zooplankton,benth. crust.;finfish;mollusks;other plank. invertebrates;plank. crust.;worms
Australia (QLD2),NA,NA,Lutjanus obsoletus,1,Lutjanidae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD),Bowen,paul.york@jcu.edu.au,Lutjanus russellii,56,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),Benthic invertivore,benthic invertivore,Demersal,demersal,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,590,172.3333333,182,18,184.5,2.21158,NaN,4.1,0.395,3.799999952,0.6332,-1,-1,-1,-1,0,-1,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos;zooplankton,benth. crust.;finfish;plank. crust.
Australia (QLD2),NA,NA,Lutjanus russellii,108,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,benthic invertivore,NA,benthic,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,590,172.3333333,182,18,184.5,2.21158,NaN,4.1,0.395,3.799999952,0.6332,-1,-1,-1,-1,0,-1,-1,-1,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos;zooplankton,benth. crust.;finfish;plank. crust.
Australia (QLD2),NA,NA,Lutjanus semicinctus,1,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,581,179,184,NaN,NaN,2.07649,NaN,NaN,NaN,4.05,0.68,0,0,0,0,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
Australia (QLD2),NA,NA,Lutjanus sp.,2,Lutjanidae,active,NA,variable,NA,scraping herbivore,NA,benthic,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (QLD2),NA,NA,Lutjanus vitta,1,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,more or less truncate,more or less normal,552.6666667,155,151.6666667,21,145,2.19494,94,3.96,0.304,3.74000001,0.5896,0,0,0,-1,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish;worms
Mexico (ICML),NA,NA,Ocyurus chrysurus,5,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,more or less straight,more or less normal,terminal,forked,more or less normal,586,157,178,29,198,1.73696,NaN,4.03,0.299,3.88,0.54,0,0,0,0,-1,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos;zooplankton,benth. crust.;cephalopods;finfish;jellyfish/hydroids;mollusks;other plank. invertebrates;worms
Australia (QLD2),NA,NA,Symphorus nematophorus,6,Lutjanidae,active,hunting macrofauna (predator),hunting macrofauna (predator),NA,scraping herbivore,NA,benthic,1,1,fusiform / normal,oval,clearly convex,more or less normal,terminal,more or less truncate,more or less normal,572.5,166,194.5,23,173,1.32518,NaN,4.11,0.49,4.18,0.71,0,0,0,0,0,-1,0,0,0,0,mainly animals (troph. 2.8 and up),tropical,nekton;zoobenthos,benth. crust.;finfish
USA (CA),San Diego,khovel@mail.sdsu.edu,Lysmata californica,1,Lysmatidae,active,NA,variable,NA,scraping herbivore,NA,pelagic site attached,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia (VIC),Edwards Point,hjanes@deakin.edu.au,Acanthaluteres spilomelanurus,4,Monacanthidae,active,variable,variable,Omnivore,omnivore,Demersal,demersal,0,0,short and / or deep,NA,NA,NA,NA,other (see remark),NA,554.5,118.5,150,NaN,NaN,1.9078,NaN,NaN,NaN,NaN,NaN,0,0,0,0,-1,0,-1,0,0,0,,subtropical,,
Australia (VIC),Edwards Point,hjanes@deakin.edu.au,Acanthaluteres spilomelanurus,4,Monacanthidae,active,variable,variable,Omnivore,omnivore,Demersal,demersal,0,0,short and / or deep,NA,NA,NA,NA,other (see remark),NA,554.5,118.5,150,NaN,NaN,1.9078,NaN,NaN,NaN,NaN,NaN,0,0,0,0,-1,0,-1,0,0,0,,subtropical,,
